PERMNO,date,TICKER,PRC,RETX
10107,12/13/2013,MSFT,36.69000,-0.014240
10107,12/16/2013,MSFT,36.88500,0.005315
10107,12/17/2013,MSFT,36.52000,-0.009896
10107,12/18/2013,MSFT,36.58000,0.001643
10107,12/19/2013,MSFT,36.25000,-0.009021
10107,12/20/2013,MSFT,36.80000,0.015172
10107,12/23/2013,MSFT,36.62000,-0.004891
10107,12/24/2013,MSFT,37.08000,0.012562
10107,12/26/2013,MSFT,37.44000,0.009709
10107,12/27/2013,MSFT,37.29000,-0.004006
10107,12/30/2013,MSFT,37.29000,0.000000
10107,12/31/2013,MSFT,37.41000,0.003218
10107,01/02/2014,MSFT,37.16000,-0.006683
10107,01/03/2014,MSFT,36.91000,-0.006728
10107,01/06/2014,MSFT,36.13000,-0.021132
10107,01/07/2014,MSFT,36.41000,0.007750
10107,01/08/2014,MSFT,35.76000,-0.017852
10107,01/09/2014,MSFT,35.53000,-0.006432
10107,01/10/2014,MSFT,36.04000,0.014354
10107,01/13/2014,MSFT,34.98000,-0.029412
10107,01/14/2014,MSFT,35.78000,0.022870
10107,01/15/2014,MSFT,36.76000,0.027390
10107,01/16/2014,MSFT,36.89000,0.003536
10107,01/17/2014,MSFT,36.38000,-0.013825
10107,01/21/2014,MSFT,36.17000,-0.005772
10107,01/22/2014,MSFT,35.93000,-0.006635
10107,01/23/2014,MSFT,36.05500,0.003479
10107,01/24/2014,MSFT,36.80500,0.020802
10107,01/27/2014,MSFT,36.03000,-0.021057
10107,01/28/2014,MSFT,36.27000,0.006661
10107,01/29/2014,MSFT,36.66000,0.010753
10107,01/30/2014,MSFT,36.86000,0.005456
10107,01/31/2014,MSFT,37.84000,0.026587
10107,02/03/2014,MSFT,36.48000,-0.035941
10107,02/04/2014,MSFT,36.35000,-0.003564
10107,02/05/2014,MSFT,35.82000,-0.014580
10107,02/06/2014,MSFT,36.18000,0.010050
10107,02/07/2014,MSFT,36.56000,0.010503
10107,02/10/2014,MSFT,36.80000,0.006564
10107,02/11/2014,MSFT,37.17500,0.010190
10107,02/12/2014,MSFT,37.47000,0.007935
10107,02/13/2014,MSFT,37.61000,0.003736
10107,02/14/2014,MSFT,37.62000,0.000266
10107,02/18/2014,MSFT,37.42000,-0.005316
10107,02/19/2014,MSFT,37.51000,0.002405
10107,02/20/2014,MSFT,37.75000,0.006398
10107,02/21/2014,MSFT,37.98000,0.006093
10107,02/24/2014,MSFT,37.69000,-0.007636
10107,02/25/2014,MSFT,37.54000,-0.003980
10107,02/26/2014,MSFT,37.47000,-0.001865
10107,02/27/2014,MSFT,37.86000,0.010408
10107,02/28/2014,MSFT,38.31000,0.011886
10107,03/03/2014,MSFT,37.78000,-0.013835
10107,03/04/2014,MSFT,38.41000,0.016676
10107,03/05/2014,MSFT,38.11000,-0.007810
10107,03/06/2014,MSFT,38.15000,0.001050
10107,03/07/2014,MSFT,37.90000,-0.006553
10107,03/10/2014,MSFT,37.82000,-0.002111
10107,03/11/2014,MSFT,38.02000,0.005288
10107,03/12/2014,MSFT,38.27000,0.006575
10107,03/13/2014,MSFT,37.89000,-0.009929
10107,03/14/2014,MSFT,37.70000,-0.005014
10107,03/17/2014,MSFT,38.05000,0.009284
10107,03/18/2014,MSFT,39.55000,0.039422
10107,03/19/2014,MSFT,39.27000,-0.007080
10107,03/20/2014,MSFT,40.33000,0.026993
10107,03/21/2014,MSFT,40.16000,-0.004215
10107,03/24/2014,MSFT,40.50000,0.008466
10107,03/25/2014,MSFT,40.34000,-0.003951
10107,03/26/2014,MSFT,39.79000,-0.013634
10107,03/27/2014,MSFT,39.36000,-0.010807
10107,03/28/2014,MSFT,40.30000,0.023882
10107,03/31/2014,MSFT,40.99000,0.017122
10107,04/01/2014,MSFT,41.42000,0.010490
10107,04/02/2014,MSFT,41.35000,-0.001690
10107,04/03/2014,MSFT,41.01000,-0.008222
10107,04/04/2014,MSFT,39.87000,-0.027798
10107,04/07/2014,MSFT,39.80000,-0.001756
10107,04/08/2014,MSFT,39.82000,0.000503
10107,04/09/2014,MSFT,40.47000,0.016323
10107,04/10/2014,MSFT,39.36000,-0.027428
10107,04/11/2014,MSFT,39.20900,-0.003836
10107,04/14/2014,MSFT,39.18000,-0.000740
10107,04/15/2014,MSFT,39.75000,0.014548
10107,04/16/2014,MSFT,40.40000,0.016352
10107,04/17/2014,MSFT,40.01000,-0.009654
10107,04/21/2014,MSFT,39.94000,-0.001750
10107,04/22/2014,MSFT,39.99000,0.001252
10107,04/23/2014,MSFT,39.69000,-0.007502
10107,04/24/2014,MSFT,39.86000,0.004283
10107,04/25/2014,MSFT,39.91000,0.001254
10107,04/28/2014,MSFT,40.87000,0.024054
10107,04/29/2014,MSFT,40.51000,-0.008808
10107,04/30/2014,MSFT,40.40000,-0.002715
10107,05/01/2014,MSFT,40.00000,-0.009901
10107,05/02/2014,MSFT,39.69000,-0.007750
10107,05/05/2014,MSFT,39.43000,-0.006551
10107,05/06/2014,MSFT,39.06000,-0.009384
10107,05/07/2014,MSFT,39.42500,0.009345
10107,05/08/2014,MSFT,39.64000,0.005453
10107,05/09/2014,MSFT,39.54000,-0.002523
10107,05/12/2014,MSFT,39.97000,0.010875
10107,05/13/2014,MSFT,40.42000,0.011258
10107,05/14/2014,MSFT,40.24000,-0.004453
10107,05/15/2014,MSFT,39.60000,-0.015905
10107,05/16/2014,MSFT,39.83000,0.005808
10107,05/19/2014,MSFT,39.75000,-0.002009
10107,05/20/2014,MSFT,39.68000,-0.001761
10107,05/21/2014,MSFT,40.35000,0.016885
10107,05/22/2014,MSFT,40.10000,-0.006196
10107,05/23/2014,MSFT,40.12000,0.000499
10107,05/27/2014,MSFT,40.19000,0.001745
10107,05/28/2014,MSFT,40.01000,-0.004479
10107,05/29/2014,MSFT,40.34000,0.008248
10107,05/30/2014,MSFT,40.94000,0.014874
10107,06/02/2014,MSFT,40.79000,-0.003664
10107,06/03/2014,MSFT,40.29000,-0.012258
10107,06/04/2014,MSFT,40.32000,0.000745
10107,06/05/2014,MSFT,41.21000,0.022073
10107,06/06/2014,MSFT,41.48000,0.006552
10107,06/09/2014,MSFT,41.27000,-0.005063
10107,06/10/2014,MSFT,41.11000,-0.003877
10107,06/11/2014,MSFT,40.86000,-0.006081
10107,06/12/2014,MSFT,40.58000,-0.006853
10107,06/13/2014,MSFT,41.23000,0.016018
10107,06/16/2014,MSFT,41.50000,0.006549
10107,06/17/2014,MSFT,41.68000,0.004337
10107,06/18/2014,MSFT,41.65000,-0.000720
10107,06/19/2014,MSFT,41.51000,-0.003361
10107,06/20/2014,MSFT,41.68000,0.004095
10107,06/23/2014,MSFT,41.99000,0.007438
10107,06/24/2014,MSFT,41.74500,-0.005835
10107,06/25/2014,MSFT,42.03000,0.006827
10107,06/26/2014,MSFT,41.72000,-0.007376
10107,06/27/2014,MSFT,42.25000,0.012704
10107,06/30/2014,MSFT,41.70000,-0.013018
10107,07/01/2014,MSFT,41.87000,0.004077
10107,07/02/2014,MSFT,41.90000,0.000717
10107,07/03/2014,MSFT,41.80000,-0.002387
10107,07/07/2014,MSFT,41.99000,0.004546
10107,07/08/2014,MSFT,41.78000,-0.005001
10107,07/09/2014,MSFT,41.67000,-0.002633
10107,07/10/2014,MSFT,41.68500,0.000360
10107,07/11/2014,MSFT,42.09000,0.009716
10107,07/14/2014,MSFT,42.14000,0.001188
10107,07/15/2014,MSFT,42.45000,0.007356
10107,07/16/2014,MSFT,44.08000,0.038398
10107,07/17/2014,MSFT,44.53000,0.010209
10107,07/18/2014,MSFT,44.69000,0.003593
10107,07/21/2014,MSFT,44.83500,0.003245
10107,07/22/2014,MSFT,44.83000,-0.000111
10107,07/23/2014,MSFT,44.87000,0.000892
10107,07/24/2014,MSFT,44.40000,-0.010475
10107,07/25/2014,MSFT,44.50000,0.002252
10107,07/28/2014,MSFT,43.97000,-0.011910
10107,07/29/2014,MSFT,43.88500,-0.001933
10107,07/30/2014,MSFT,43.57850,-0.006984
10107,07/31/2014,MSFT,43.16000,-0.009603
10107,08/01/2014,MSFT,42.86000,-0.006951
10107,08/04/2014,MSFT,43.37000,0.011899
10107,08/05/2014,MSFT,43.08000,-0.006687
10107,08/06/2014,MSFT,42.74000,-0.007892
10107,08/07/2014,MSFT,43.23000,0.011465
10107,08/08/2014,MSFT,43.20000,-0.000694
10107,08/11/2014,MSFT,43.20000,0.000000
10107,08/12/2014,MSFT,43.52000,0.007407
10107,08/13/2014,MSFT,44.08000,0.012868
10107,08/14/2014,MSFT,44.27000,0.004310
10107,08/15/2014,MSFT,44.79000,0.011746
10107,08/18/2014,MSFT,45.11000,0.007144
10107,08/19/2014,MSFT,45.33000,0.004877
10107,08/20/2014,MSFT,44.95000,-0.008383
10107,08/21/2014,MSFT,45.22000,0.006007
10107,08/22/2014,MSFT,45.15000,-0.001548
10107,08/25/2014,MSFT,45.17000,0.000443
10107,08/26/2014,MSFT,45.00500,-0.003653
10107,08/27/2014,MSFT,44.87000,-0.003000
10107,08/28/2014,MSFT,44.88000,0.000223
10107,08/29/2014,MSFT,45.43000,0.012255
10107,09/02/2014,MSFT,45.09000,-0.007484
10107,09/03/2014,MSFT,44.96000,-0.002883
10107,09/04/2014,MSFT,45.26000,0.006673
10107,09/05/2014,MSFT,45.91000,0.014362
10107,09/08/2014,MSFT,46.47000,0.012198
10107,09/09/2014,MSFT,46.76000,0.006241
10107,09/10/2014,MSFT,46.84000,0.001711
10107,09/11/2014,MSFT,47.00000,0.003416
10107,09/12/2014,MSFT,46.69500,-0.006489
10107,09/15/2014,MSFT,46.24000,-0.009744
10107,09/16/2014,MSFT,46.76000,0.011246
10107,09/17/2014,MSFT,46.52000,-0.005133
10107,09/18/2014,MSFT,46.68000,0.003439
10107,09/19/2014,MSFT,47.52000,0.017995
10107,09/22/2014,MSFT,47.06000,-0.009680
10107,09/23/2014,MSFT,46.56000,-0.010625
10107,09/24/2014,MSFT,47.08000,0.011168
10107,09/25/2014,MSFT,46.04000,-0.022090
10107,09/26/2014,MSFT,46.41000,0.008036
10107,09/29/2014,MSFT,46.44000,0.000646
10107,09/30/2014,MSFT,46.36000,-0.001723
10107,10/01/2014,MSFT,45.90000,-0.009922
10107,10/02/2014,MSFT,45.76000,-0.003050
10107,10/03/2014,MSFT,46.09000,0.007212
10107,10/06/2014,MSFT,46.09000,0.000000
10107,10/07/2014,MSFT,45.53000,-0.012150
10107,10/08/2014,MSFT,46.78000,0.027454
10107,10/09/2014,MSFT,45.85000,-0.019880
10107,10/10/2014,MSFT,44.03000,-0.039695
10107,10/13/2014,MSFT,43.65000,-0.008630
10107,10/14/2014,MSFT,43.73000,0.001833
10107,10/15/2014,MSFT,43.22000,-0.011662
10107,10/16/2014,MSFT,42.74000,-0.011106
10107,10/17/2014,MSFT,43.63000,0.020824
10107,10/20/2014,MSFT,44.08000,0.010314
10107,10/21/2014,MSFT,44.88000,0.018149
10107,10/22/2014,MSFT,44.38000,-0.011141
10107,10/23/2014,MSFT,45.02000,0.014421
10107,10/24/2014,MSFT,46.13000,0.024656
10107,10/27/2014,MSFT,45.91000,-0.004769
10107,10/28/2014,MSFT,46.49000,0.012633
10107,10/29/2014,MSFT,46.62000,0.002796
10107,10/30/2014,MSFT,46.05000,-0.012227
10107,10/31/2014,MSFT,46.95000,0.019544
10107,11/03/2014,MSFT,47.44000,0.010437
10107,11/04/2014,MSFT,47.57000,0.002740
10107,11/05/2014,MSFT,47.86000,0.006096
10107,11/06/2014,MSFT,48.70000,0.017551
10107,11/07/2014,MSFT,48.68000,-0.000411
10107,11/10/2014,MSFT,48.89000,0.004314
10107,11/11/2014,MSFT,48.87000,-0.000409
10107,11/12/2014,MSFT,48.78000,-0.001842
10107,11/13/2014,MSFT,49.61000,0.017015
10107,11/14/2014,MSFT,49.58000,-0.000605
10107,11/17/2014,MSFT,49.46000,-0.002420
10107,11/18/2014,MSFT,48.74000,-0.014557
10107,11/19/2014,MSFT,48.22000,-0.010669
10107,11/20/2014,MSFT,48.70000,0.009954
10107,11/21/2014,MSFT,47.98000,-0.014784
10107,11/24/2014,MSFT,47.59000,-0.008128
10107,11/25/2014,MSFT,47.47000,-0.002522
10107,11/26/2014,MSFT,47.75000,0.005898
10107,11/28/2014,MSFT,47.81000,0.001257
10107,12/01/2014,MSFT,48.62000,0.016942
10107,12/02/2014,MSFT,48.46000,-0.003291
10107,12/03/2014,MSFT,48.08000,-0.007841
10107,12/04/2014,MSFT,48.84000,0.015807
10107,12/05/2014,MSFT,48.42000,-0.008600
10107,12/08/2014,MSFT,47.69500,-0.014973
10107,12/09/2014,MSFT,47.59000,-0.002201
10107,12/10/2014,MSFT,46.90000,-0.014499
10107,12/11/2014,MSFT,47.17000,0.005757
10107,12/12/2014,MSFT,46.95000,-0.004664
10107,12/15/2014,MSFT,46.67000,-0.005964
10107,12/16/2014,MSFT,45.16000,-0.032355
10107,12/17/2014,MSFT,45.74000,0.012843
10107,12/18/2014,MSFT,47.52000,0.038916
10107,12/19/2014,MSFT,47.66000,0.002946
10107,12/22/2014,MSFT,47.98000,0.006714
10107,12/23/2014,MSFT,48.45000,0.009796
10107,12/24/2014,MSFT,48.14000,-0.006398
10107,12/26/2014,MSFT,47.88000,-0.005401
10107,12/29/2014,MSFT,47.45000,-0.008981
10107,12/30/2014,MSFT,47.02000,-0.009062
10107,12/31/2014,MSFT,46.45000,-0.012122
10107,01/02/2015,MSFT,46.76000,0.006674
10107,01/05/2015,MSFT,46.32500,-0.009303
10107,01/06/2015,MSFT,45.65000,-0.014571
10107,01/07/2015,MSFT,46.23000,0.012705
