secid,date,days,volatility,index_flag
143439,5/9/18,60,0.61861,0
143439,5/9/18,91,0.578049,0
143439,5/9/18,122,0.547726,0
143439,5/9/18,152,0.526699,0
143439,5/9/18,182,0.554138,0
143439,5/9/18,273,0.499962,0
143439,5/9/18,365,0.463936,0
143439,5/9/18,547,0.436619,0
143439,5/9/18,730,0.408182,0
143439,5/9/18,1825,0.440336,0
143439,6/9/18,10,0.247238,0
143439,6/9/18,14,0.256813,0
143439,6/9/18,30,0.433176,0
143439,6/9/18,60,0.611245,0
143439,6/9/18,91,0.577805,0
143439,6/9/18,122,0.545294,0
143439,6/9/18,152,0.524189,0
143439,6/9/18,182,0.554018,0
143439,6/9/18,273,0.499917,0
143439,6/9/18,365,0.463735,0
143439,6/9/18,547,0.436578,0
143439,6/9/18,730,0.407812,0
143439,6/9/18,1825,0.440161,0
143439,7/9/18,10,0.376501,0
143439,7/9/18,14,0.333328,0
143439,7/9/18,30,0.466711,0
143439,7/9/18,60,0.62419,0
143439,7/9/18,91,0.591276,0
143439,7/9/18,122,0.556395,0
143439,7/9/18,152,0.531022,0
143439,7/9/18,182,0.5613,0
143439,7/9/18,273,0.505265,0
143439,7/9/18,365,0.467801,0
143439,7/9/18,547,0.439786,0
143439,7/9/18,730,0.410432,0
143439,7/9/18,1825,0.440961,0
143439,10/9/18,10,0.901747,0
143439,10/9/18,14,0.645585,0
143439,10/9/18,30,0.570002,0
143439,10/9/18,60,0.67249,0
143439,10/9/18,91,0.607587,0
143439,10/9/18,122,0.580111,0
143439,10/9/18,152,0.54268,0
143439,10/9/18,182,0.567907,0
143439,10/9/18,273,0.511692,0
143439,10/9/18,365,0.474564,0
143439,10/9/18,547,0.444708,0
143439,10/9/18,730,0.414335,0
143439,10/9/18,1825,0.442115,0
143439,11/9/18,10,0.809381,0
143439,11/9/18,14,0.644579,0
143439,11/9/18,30,0.556756,0
143439,11/9/18,60,0.673668,0
143439,11/9/18,91,0.604773,0
143439,11/9/18,122,0.577732,0
143439,11/9/18,152,0.542528,0
143439,11/9/18,182,0.568462,0
143439,11/9/18,273,0.510427,0
143439,11/9/18,365,0.471406,0
143439,11/9/18,547,0.444994,0
143439,11/9/18,730,0.414221,0
143439,11/9/18,1825,0.442209,0
143439,12/9/18,10,0.801349,0
143439,12/9/18,14,0.694006,0
143439,12/9/18,30,0.582,0
143439,12/9/18,60,0.673373,0
143439,12/9/18,91,0.610394,0
143439,12/9/18,122,0.578365,0
143439,12/9/18,152,0.544952,0
143439,12/9/18,182,0.567858,0
143439,12/9/18,273,0.512503,0
143439,12/9/18,365,0.473097,0
143439,12/9/18,547,0.444483,0
143439,12/9/18,730,0.41489,0
143439,12/9/18,1825,0.442542,0
143439,13/09/2018,10,0.741963,0
143439,13/09/2018,14,0.694044,0
143439,13/09/2018,30,0.579659,0
143439,13/09/2018,60,0.665318,0
143439,13/09/2018,91,0.605077,0
143439,13/09/2018,122,0.575995,0
143439,13/09/2018,152,0.542376,0
143439,13/09/2018,182,0.567863,0
143439,13/09/2018,273,0.512506,0
143439,13/09/2018,365,0.47299,0
143439,13/09/2018,547,0.444432,0
143439,13/09/2018,730,0.414813,0
143439,13/09/2018,1825,0.44237,0
143439,14/09/2018,10,0.709428,0
143439,14/09/2018,14,0.706336,0
143439,14/09/2018,30,0.584025,0
143439,14/09/2018,60,0.664277,0
143439,14/09/2018,91,0.606761,0
143439,14/09/2018,122,0.575052,0
143439,14/09/2018,152,0.540682,0
143439,14/09/2018,182,0.568334,0
143439,14/09/2018,273,0.51267,0
143439,14/09/2018,365,0.472377,0
143439,14/09/2018,547,0.444276,0
143439,14/09/2018,730,0.415027,0
143439,14/09/2018,1825,0.442278,0
143439,17/09/2018,10,0.586547,0
143439,17/09/2018,14,0.665967,0
143439,17/09/2018,30,0.502908,0
143439,17/09/2018,60,0.672151,0
143439,17/09/2018,91,0.601897,0
143439,17/09/2018,122,0.579649,0
143439,17/09/2018,152,0.54257,0
143439,17/09/2018,182,0.567316,0
143439,17/09/2018,273,0.512459,0
143439,17/09/2018,365,0.472329,0
143439,17/09/2018,547,0.444273,0
143439,17/09/2018,730,0.414872,0
143439,17/09/2018,1825,0.442621,0
143439,18/09/2018,10,0.622688,0
143439,18/09/2018,14,0.65198,0
143439,18/09/2018,30,0.502788,0
143439,18/09/2018,60,0.675258,0
143439,18/09/2018,91,0.597566,0
143439,18/09/2018,122,0.579299,0
143439,18/09/2018,152,0.543957,0
143439,18/09/2018,182,0.569161,0
143439,18/09/2018,273,0.513261,0
143439,18/09/2018,365,0.473256,0
143439,18/09/2018,547,0.445159,0
143439,18/09/2018,730,0.415189,0
143439,18/09/2018,1825,0.441855,0
143439,19/09/2018,10,0.612446,0
143439,19/09/2018,14,0.675396,0
143439,19/09/2018,30,0.532162,0
143439,19/09/2018,60,0.678344,0
143439,19/09/2018,91,0.603397,0
143439,19/09/2018,122,0.581696,0
143439,19/09/2018,152,0.546678,0
143439,19/09/2018,182,0.572672,0
143439,19/09/2018,273,0.516353,0
143439,19/09/2018,365,0.475157,0
143439,19/09/2018,547,0.445408,0
143439,19/09/2018,730,0.416537,0
143439,19/09/2018,1825,0.44217,0
143439,20/09/2018,10,0.449947,0
143439,20/09/2018,14,0.676275,0
143439,20/09/2018,30,0.507329,0
143439,20/09/2018,60,0.670226,0
143439,20/09/2018,91,0.598325,0
143439,20/09/2018,122,0.579893,0
143439,20/09/2018,152,0.544083,0
143439,20/09/2018,182,0.571715,0
143439,20/09/2018,273,0.516259,0
143439,20/09/2018,365,0.475154,0
143439,20/09/2018,547,0.445205,0
143439,20/09/2018,730,0.416494,0
143439,20/09/2018,1825,0.441995,0
143439,21/09/2018,10,0.41715,0
143439,21/09/2018,14,0.550682,0
143439,21/09/2018,30,0.507701,0
143439,21/09/2018,60,0.665406,0
143439,21/09/2018,91,0.593295,0
