date,short sell_unscaled,short sell_monthly,isPartial,scale,short sell
2010-11-26,41,54.0,,0.54,22.14
2010-11-27,43,54.0,,0.54,23.220000000000002
2010-11-28,43,54.0,,0.54,23.220000000000002
2010-11-29,45,54.0,,0.54,24.3
2010-11-30,58,54.0,,0.54,31.32
2010-12-01,36,45.0,False,0.45,16.2
2010-12-02,27,45.0,,0.45,12.15
2010-12-03,57,45.0,,0.45,25.650000000000002
2010-12-04,49,45.0,,0.45,22.05
2010-12-05,0,45.0,,0.45,0.0
2010-12-06,36,45.0,,0.45,16.2
2010-12-07,45,45.0,,0.45,20.25
2010-12-08,64,45.0,,0.45,28.8
2010-12-09,46,45.0,,0.45,20.7
2010-12-10,0,45.0,,0.45,0.0
2010-12-11,50,45.0,,0.45,22.5
2010-12-12,49,45.0,,0.45,22.05
2010-12-13,18,45.0,,0.45,8.1
2010-12-14,71,45.0,,0.45,31.95
2010-12-15,28,45.0,,0.45,12.6
2010-12-16,28,45.0,,0.45,12.6
2010-12-17,100,45.0,,0.45,45.0
2010-12-18,26,45.0,,0.45,11.700000000000001
2010-12-19,27,45.0,,0.45,12.15
2010-12-20,20,45.0,,0.45,9.0
2010-12-21,19,45.0,,0.45,8.55
2010-12-22,62,45.0,,0.45,27.900000000000002
2010-12-23,44,45.0,,0.45,19.8
2010-12-24,0,45.0,,0.45,0.0
2010-12-25,33,45.0,,0.45,14.85
2010-12-26,56,45.0,,0.45,25.2
2010-12-27,44,45.0,,0.45,19.8
2010-12-28,32,45.0,,0.45,14.4
2010-12-29,31,45.0,,0.45,13.950000000000001
2010-12-30,43,45.0,,0.45,19.35
2010-12-31,24,45.0,,0.45,10.8
2011-01-01,29,67.0,False,0.67,19.43
2011-01-02,47,67.0,,0.67,31.490000000000002
2011-01-03,37,67.0,,0.67,24.790000000000003
2011-01-04,36,67.0,,0.67,24.12
2011-01-05,35,67.0,,0.67,23.450000000000003
2011-01-06,36,67.0,,0.67,24.12
2011-01-07,54,67.0,,0.67,36.18
2011-01-08,66,67.0,,0.67,44.220000000000006
2011-01-09,67,67.0,,0.67,44.89
2011-01-10,86,67.0,,0.67,57.620000000000005
2011-01-11,68,67.0,,0.67,45.56
2011-01-12,86,67.0,,0.67,57.620000000000005
2011-01-13,18,67.0,,0.67,12.06
2011-01-14,70,67.0,,0.67,46.900000000000006
2011-01-15,22,67.0,,0.67,14.74
2011-01-16,45,67.0,,0.67,30.150000000000002
2011-01-17,36,67.0,,0.67,24.12
2011-01-18,50,67.0,,0.67,33.5
2011-01-19,0,67.0,,0.67,0.0
2011-01-20,17,67.0,,0.67,11.39
2011-01-21,35,67.0,,0.67,23.450000000000003
2011-01-22,44,67.0,,0.67,29.48
2011-01-23,0,67.0,,0.67,0.0
2011-01-24,86,67.0,,0.67,57.620000000000005
2011-01-25,34,67.0,,0.67,22.78
2011-01-26,100,67.0,,0.67,67.0
2011-01-27,51,67.0,,0.67,34.17
2011-01-28,18,67.0,,0.67,12.06
2011-01-29,64,67.0,,0.67,42.88
2011-01-30,63,67.0,,0.67,42.21
2011-01-31,64,67.0,,0.67,42.88
2011-02-01,32,79.0,False,0.79,25.28
2011-02-02,74,79.0,,0.79,58.46
2011-02-03,66,79.0,,0.79,52.14
2011-02-04,68,79.0,,0.79,53.72
2011-02-05,0,79.0,,0.79,0.0
2011-02-06,57,79.0,,0.79,45.03
2011-02-07,22,79.0,,0.79,17.380000000000003
2011-02-08,99,79.0,,0.79,78.21000000000001
2011-02-09,100,79.0,,0.79,79.0
2011-02-10,57,79.0,,0.79,45.03
2011-02-11,59,79.0,,0.79,46.61
2011-02-12,73,79.0,,0.79,57.67
2011-02-13,45,79.0,,0.79,35.550000000000004
2011-02-14,56,79.0,,0.79,44.24
2011-02-15,79,79.0,,0.79,62.410000000000004
2011-02-16,45,79.0,,0.79,35.550000000000004
2011-02-17,23,79.0,,0.79,18.17
2011-02-18,59,79.0,,0.79,46.61
2011-02-19,59,79.0,,0.79,46.61
2011-02-20,30,79.0,,0.79,23.700000000000003
2011-02-21,35,79.0,,0.79,27.650000000000002
2011-02-22,56,79.0,,0.79,44.24
2011-02-23,67,79.0,,0.79,52.93
2011-02-24,78,79.0,,0.79,61.620000000000005
2011-02-25,23,79.0,,0.79,18.17
2011-02-26,87,79.0,,0.79,68.73
2011-02-27,58,79.0,,0.79,45.82
2011-02-28,44,79.0,,0.79,34.760000000000005
2011-03-01,57,73.0,False,0.73,41.61
2011-03-02,58,73.0,,0.73,42.339999999999996
2011-03-03,44,73.0,,0.73,32.12
2011-03-04,76,73.0,,0.73,55.48
2011-03-05,57,73.0,,0.73,41.61
2011-03-06,37,73.0,,0.73,27.009999999999998
2011-03-07,15,73.0,,0.73,10.95
2011-03-08,44,73.0,,0.73,32.12
2011-03-09,43,73.0,,0.73,31.39
2011-03-10,58,73.0,,0.73,42.339999999999996
2011-03-11,44,73.0,,0.73,32.12
2011-03-12,41,73.0,,0.73,29.93
2011-03-13,21,73.0,,0.73,15.33
2011-03-14,49,73.0,,0.73,35.769999999999996
2011-03-15,31,73.0,,0.73,22.63
2011-03-16,44,73.0,,0.73,32.12
2011-03-17,15,73.0,,0.73,10.95
2011-03-18,32,73.0,,0.73,23.36
2011-03-19,0,73.0,,0.73,0.0
2011-03-20,19,73.0,,0.73,13.87
2011-03-21,0,73.0,,0.73,0.0
2011-03-22,43,73.0,,0.73,31.39
2011-03-23,57,73.0,,0.73,41.61
2011-03-24,29,73.0,,0.73,21.169999999999998
2011-03-25,61,73.0,,0.73,44.53
2011-03-26,0,73.0,,0.73,0.0
2011-03-27,56,73.0,,0.73,40.879999999999995
2011-03-28,29,73.0,,0.73,21.169999999999998
2011-03-29,100,73.0,,0.73,73.0
2011-03-30,43,73.0,,0.73,31.39
2011-03-31,29,73.0,,0.73,21.169999999999998
2011-04-01,46,65.0,False,0.65,29.900000000000002
2011-04-02,29,65.0,,0.65,18.85
2011-04-03,44,65.0,,0.65,28.6
2011-04-04,65,65.0,,0.65,42.25
2011-04-05,54,65.0,,0.65,35.1
2011-04-06,44,65.0,,0.65,28.6
2011-04-07,22,65.0,,0.65,14.3
2011-04-08,57,65.0,,0.65,37.050000000000004
2011-04-09,44,65.0,,0.65,28.6
2011-04-10,0,65.0,,0.65,0.0
2011-04-11,87,65.0,,0.65,56.550000000000004
2011-04-12,75,65.0,,0.65,48.75
2011-04-13,22,65.0,,0.65,14.3
2011-04-14,67,65.0,,0.65,43.550000000000004
2011-04-15,69,65.0,,0.65,44.85
2011-04-16,0,65.0,,0.65,0.0
2011-04-17,30,65.0,,0.65,19.5
2011-04-18,77,65.0,,0.65,50.050000000000004
2011-04-19,86,65.0,,0.65,55.9
2011-04-20,67,65.0,,0.65,43.550000000000004
