date,vaccine_unscaled,vaccine_monthly,isPartial,scale,vaccine
2011-01-31,53,12.0,,0.12,6.359999999999999
2011-02-01,84,12.0,False,0.12,10.08
2011-02-02,74,12.0,,0.12,8.879999999999999
2011-02-03,88,12.0,,0.12,10.559999999999999
2011-02-04,58,12.0,,0.12,6.96
2011-02-05,78,12.0,,0.12,9.36
2011-02-06,45,12.0,,0.12,5.3999999999999995
2011-02-07,91,12.0,,0.12,10.92
2011-02-08,76,12.0,,0.12,9.12
2011-02-09,92,12.0,,0.12,11.04
2011-02-10,88,12.0,,0.12,10.559999999999999
2011-02-11,80,12.0,,0.12,9.6
2011-02-12,63,12.0,,0.12,7.56
2011-02-13,62,12.0,,0.12,7.4399999999999995
2011-02-14,69,12.0,,0.12,8.28
2011-02-15,93,12.0,,0.12,11.16
2011-02-16,98,12.0,,0.12,11.76
2011-02-17,84,12.0,,0.12,10.08
2011-02-18,68,12.0,,0.12,8.16
2011-02-19,62,12.0,,0.12,7.4399999999999995
2011-02-20,67,12.0,,0.12,8.04
2011-02-21,56,12.0,,0.12,6.72
2011-02-22,84,12.0,,0.12,10.08
2011-02-23,100,12.0,,0.12,12.0
2011-02-24,83,12.0,,0.12,9.959999999999999
2011-02-25,64,12.0,,0.12,7.68
2011-02-26,59,12.0,,0.12,7.08
2011-02-27,40,12.0,,0.12,4.8
2011-02-28,71,12.0,,0.12,8.52
2011-03-01,100,12.0,False,0.12,12.0
2011-03-02,80,12.0,,0.12,9.6
2011-03-03,83,12.0,,0.12,9.959999999999999
2011-03-04,77,12.0,,0.12,9.24
2011-03-05,53,12.0,,0.12,6.359999999999999
2011-03-06,30,12.0,,0.12,3.5999999999999996
2011-03-07,66,12.0,,0.12,7.92
2011-03-08,86,12.0,,0.12,10.32
2011-03-09,85,12.0,,0.12,10.2
2011-03-10,57,12.0,,0.12,6.84
2011-03-11,77,12.0,,0.12,9.24
2011-03-12,63,12.0,,0.12,7.56
2011-03-13,47,12.0,,0.12,5.64
2011-03-14,57,12.0,,0.12,6.84
2011-03-15,76,12.0,,0.12,9.12
2011-03-16,55,12.0,,0.12,6.6
2011-03-17,56,12.0,,0.12,6.72
2011-03-18,68,12.0,,0.12,8.16
2011-03-19,63,12.0,,0.12,7.56
2011-03-20,57,12.0,,0.12,6.84
2011-03-21,74,12.0,,0.12,8.879999999999999
2011-03-22,68,12.0,,0.12,8.16
2011-03-23,69,12.0,,0.12,8.28
2011-03-24,75,12.0,,0.12,9.0
2011-03-25,72,12.0,,0.12,8.64
2011-03-26,37,12.0,,0.12,4.4399999999999995
2011-03-27,49,12.0,,0.12,5.88
2011-03-28,87,12.0,,0.12,10.44
2011-03-29,65,12.0,,0.12,7.8
2011-03-30,97,12.0,,0.12,11.639999999999999
2011-03-31,69,12.0,,0.12,8.28
2011-04-01,68,12.0,False,0.12,8.16
