date,leverage_unscaled,leverage_monthly,isPartial,scale,leverage
2010-11-21,81,43.0,,0.43,34.83
2010-11-22,70,43.0,,0.43,30.099999999999998
2010-11-23,83,43.0,,0.43,35.69
2010-11-24,71,43.0,,0.43,30.53
2010-11-25,51,43.0,,0.43,21.93
2010-11-26,70,43.0,,0.43,30.099999999999998
2010-11-27,100,43.0,,0.43,43.0
2010-11-28,73,43.0,,0.43,31.39
2010-11-29,80,43.0,,0.43,34.4
2010-11-30,28,43.0,,0.43,12.04
2010-12-01,20,70.0,False,0.7,14.0
2010-12-02,35,70.0,,0.7,24.5
2010-12-03,26,70.0,,0.7,18.2
2010-12-04,27,70.0,,0.7,18.9
2010-12-05,34,70.0,,0.7,23.799999999999997
2010-12-06,33,70.0,,0.7,23.099999999999998
2010-12-07,31,70.0,,0.7,21.7
2010-12-08,20,70.0,,0.7,14.0
2010-12-09,19,70.0,,0.7,13.299999999999999
2010-12-10,28,70.0,,0.7,19.599999999999998
2010-12-11,30,70.0,,0.7,21.0
2010-12-12,39,70.0,,0.7,27.299999999999997
2010-12-13,100,70.0,,0.7,70.0
2010-12-14,23,70.0,,0.7,16.099999999999998
2010-12-15,41,70.0,,0.7,28.7
2010-12-16,28,70.0,,0.7,19.599999999999998
2010-12-17,30,70.0,,0.7,21.0
2010-12-18,33,70.0,,0.7,23.099999999999998
2010-12-19,34,70.0,,0.7,23.799999999999997
2010-12-20,62,70.0,,0.7,43.4
2010-12-21,36,70.0,,0.7,25.2
2010-12-22,33,70.0,,0.7,23.099999999999998
2010-12-23,41,70.0,,0.7,28.7
2010-12-24,38,70.0,,0.7,26.599999999999998
2010-12-25,18,70.0,,0.7,12.6
2010-12-26,16,70.0,,0.7,11.2
2010-12-27,24,70.0,,0.7,16.799999999999997
2010-12-28,45,70.0,,0.7,31.499999999999996
2010-12-29,23,70.0,,0.7,16.099999999999998
2010-12-30,32,70.0,,0.7,22.4
2010-12-31,25,70.0,,0.7,17.5
2011-01-01,71,49.0,False,0.49,34.79
2011-01-02,81,49.0,,0.49,39.69
2011-01-03,100,49.0,,0.49,49.0
2011-01-04,66,49.0,,0.49,32.339999999999996
2011-01-05,74,49.0,,0.49,36.26
2011-01-06,67,49.0,,0.49,32.83
2011-01-07,67,49.0,,0.49,32.83
2011-01-08,78,49.0,,0.49,38.22
2011-01-09,94,49.0,,0.49,46.06
2011-01-10,86,49.0,,0.49,42.14
2011-01-11,73,49.0,,0.49,35.769999999999996
2011-01-12,55,49.0,,0.49,26.95
2011-01-13,73,49.0,,0.49,35.769999999999996
2011-01-14,35,49.0,,0.49,17.15
2011-01-15,60,49.0,,0.49,29.4
2011-01-16,56,49.0,,0.49,27.439999999999998
2011-01-17,45,49.0,,0.49,22.05
2011-01-18,63,49.0,,0.49,30.87
2011-01-19,84,49.0,,0.49,41.16
2011-01-20,93,49.0,,0.49,45.57
2011-01-21,52,49.0,,0.49,25.48
2011-01-22,76,49.0,,0.49,37.24
2011-01-23,65,49.0,,0.49,31.849999999999998
2011-01-24,63,49.0,,0.49,30.87
2011-01-25,38,49.0,,0.49,18.62
2011-01-26,50,49.0,,0.49,24.5
2011-01-27,80,49.0,,0.49,39.2
2011-01-28,48,49.0,,0.49,23.52
2011-01-29,16,49.0,,0.49,7.84
2011-01-30,94,49.0,,0.49,46.06
2011-01-31,64,49.0,,0.49,31.36
2011-02-01,39,47.0,False,0.47,18.33
