date,debt_unscaled,debt_monthly,isPartial,scale,debt
2011-01-22,55,44.0,,0.44,24.2
2011-01-23,53,44.0,,0.44,23.32
2011-01-24,69,44.0,,0.44,30.36
2011-01-25,79,44.0,,0.44,34.76
2011-01-26,100,44.0,,0.44,44.0
2011-01-27,83,44.0,,0.44,36.52
2011-01-28,69,44.0,,0.44,30.36
2011-01-29,49,44.0,,0.44,21.56
2011-01-30,63,44.0,,0.44,27.72
2011-01-31,77,44.0,,0.44,33.88
2011-02-01,85,43.0,False,0.43,36.55
2011-02-02,78,43.0,,0.43,33.54
2011-02-03,72,43.0,,0.43,30.96
2011-02-04,72,43.0,,0.43,30.96
2011-02-05,53,43.0,,0.43,22.79
2011-02-06,60,43.0,,0.43,25.8
2011-02-07,87,43.0,,0.43,37.41
2011-02-08,92,43.0,,0.43,39.56
2011-02-09,91,43.0,,0.43,39.13
2011-02-10,74,43.0,,0.43,31.82
2011-02-11,72,43.0,,0.43,30.96
2011-02-12,54,43.0,,0.43,23.22
2011-02-13,59,43.0,,0.43,25.37
2011-02-14,76,43.0,,0.43,32.68
2011-02-15,100,43.0,,0.43,43.0
2011-02-16,96,43.0,,0.43,41.28
2011-02-17,80,43.0,,0.43,34.4
2011-02-18,70,43.0,,0.43,30.099999999999998
2011-02-19,68,43.0,,0.43,29.24
2011-02-20,55,43.0,,0.43,23.65
2011-02-21,66,43.0,,0.43,28.38
2011-02-22,84,43.0,,0.43,36.12
2011-02-23,84,43.0,,0.43,36.12
2011-02-24,80,43.0,,0.43,34.4
2011-02-25,65,43.0,,0.43,27.95
2011-02-26,56,43.0,,0.43,24.08
2011-02-27,64,43.0,,0.43,27.52
2011-02-28,83,43.0,,0.43,35.69
2011-03-01,99,43.0,False,0.43,42.57
2011-03-02,88,43.0,,0.43,37.839999999999996
2011-03-03,81,43.0,,0.43,34.83
2011-03-04,84,43.0,,0.43,36.12
2011-03-05,63,43.0,,0.43,27.09
2011-03-06,65,43.0,,0.43,27.95
2011-03-07,80,43.0,,0.43,34.4
2011-03-08,100,43.0,,0.43,43.0
2011-03-09,91,43.0,,0.43,39.13
2011-03-10,78,43.0,,0.43,33.54
2011-03-11,71,43.0,,0.43,30.53
2011-03-12,64,43.0,,0.43,27.52
2011-03-13,53,43.0,,0.43,22.79
2011-03-14,84,43.0,,0.43,36.12
2011-03-15,94,43.0,,0.43,40.42
2011-03-16,85,43.0,,0.43,36.55
2011-03-17,81,43.0,,0.43,34.83
2011-03-18,74,43.0,,0.43,31.82
2011-03-19,60,43.0,,0.43,25.8
2011-03-20,50,43.0,,0.43,21.5
2011-03-21,87,43.0,,0.43,37.41
2011-03-22,92,43.0,,0.43,39.56
2011-03-23,99,43.0,,0.43,42.57
2011-03-24,78,43.0,,0.43,33.54
2011-03-25,65,43.0,,0.43,27.95
2011-03-26,63,43.0,,0.43,27.09
2011-03-27,60,43.0,,0.43,25.8
2011-03-28,77,43.0,,0.43,33.11
2011-03-29,86,43.0,,0.43,36.98
2011-03-30,88,43.0,,0.43,37.839999999999996
2011-03-31,92,43.0,,0.43,39.56
2011-04-01,56,48.0,False,0.48,26.88
2011-04-02,41,48.0,,0.48,19.68
2011-04-03,38,48.0,,0.48,18.24
2011-04-04,61,48.0,,0.48,29.279999999999998
2011-04-05,59,48.0,,0.48,28.32
2011-04-06,69,48.0,,0.48,33.12
2011-04-07,70,48.0,,0.48,33.6
2011-04-08,73,48.0,,0.48,35.04
2011-04-09,61,48.0,,0.48,29.279999999999998
2011-04-10,59,48.0,,0.48,28.32
2011-04-11,88,48.0,,0.48,42.239999999999995
2011-04-12,93,48.0,,0.48,44.64
2011-04-13,100,48.0,,0.48,48.0
2011-04-14,85,48.0,,0.48,40.8
2011-04-15,66,48.0,,0.48,31.68
2011-04-16,46,48.0,,0.48,22.08
2011-04-17,48,48.0,,0.48,23.04
