date,portfolio_unscaled,portfolio_monthly,isPartial,scale,portfolio
2015-04-24,66,86.0,,0.86,56.76
2015-04-25,46,86.0,,0.86,39.56
2015-04-26,63,86.0,,0.86,54.18
2015-04-27,83,86.0,,0.86,71.38
2015-04-28,94,86.0,,0.86,80.84
2015-04-29,89,86.0,,0.86,76.53999999999999
2015-04-30,100,86.0,,0.86,86.0
2015-05-01,77,77.0,False,0.77,59.29
2015-05-02,47,77.0,,0.77,36.19
2015-05-03,66,77.0,,0.77,50.82
2015-05-04,94,77.0,,0.77,72.38
2015-05-05,100,77.0,,0.77,77.0
2015-05-06,91,77.0,,0.77,70.07000000000001
2015-05-07,81,77.0,,0.77,62.370000000000005
2015-05-08,88,77.0,,0.77,67.76
2015-05-09,53,77.0,,0.77,40.81
2015-05-10,54,77.0,,0.77,41.58
2015-05-11,98,77.0,,0.77,75.46000000000001
2015-05-12,95,77.0,,0.77,73.15
2015-05-13,85,77.0,,0.77,65.45
2015-05-14,87,77.0,,0.77,66.99
2015-05-15,77,77.0,,0.77,59.29
2015-05-16,42,77.0,,0.77,32.34
2015-05-17,51,77.0,,0.77,39.27
2015-05-18,78,77.0,,0.77,60.06
2015-05-19,72,77.0,,0.77,55.44
2015-05-20,87,77.0,,0.77,66.99
2015-05-21,82,77.0,,0.77,63.14
2015-05-22,72,77.0,,0.77,55.44
2015-05-23,59,77.0,,0.77,45.43
2015-05-24,35,77.0,,0.77,26.95
2015-05-25,52,77.0,,0.77,40.04
2015-05-26,59,77.0,,0.77,45.43
2015-05-27,97,77.0,,0.77,74.69
2015-05-28,81,77.0,,0.77,62.370000000000005
2015-05-29,80,77.0,,0.77,61.6
2015-05-30,40,77.0,,0.77,30.8
2015-05-31,47,77.0,,0.77,36.19
2015-06-01,80,75.0,False,0.75,60.0
2015-06-02,82,75.0,,0.75,61.5
2015-06-03,87,75.0,,0.75,65.25
2015-06-04,87,75.0,,0.75,65.25
2015-06-05,76,75.0,,0.75,57.0
2015-06-06,47,75.0,,0.75,35.25
2015-06-07,39,75.0,,0.75,29.25
2015-06-08,82,75.0,,0.75,61.5
2015-06-09,91,75.0,,0.75,68.25
2015-06-10,100,75.0,,0.75,75.0
2015-06-11,82,75.0,,0.75,61.5
2015-06-12,75,75.0,,0.75,56.25
2015-06-13,40,75.0,,0.75,30.0
2015-06-14,53,75.0,,0.75,39.75
2015-06-15,68,75.0,,0.75,51.0
2015-06-16,75,75.0,,0.75,56.25
2015-06-17,81,75.0,,0.75,60.75
2015-06-18,72,75.0,,0.75,54.0
2015-06-19,71,75.0,,0.75,53.25
2015-06-20,36,75.0,,0.75,27.0
2015-06-21,44,75.0,,0.75,33.0
2015-06-22,81,75.0,,0.75,60.75
2015-06-23,81,75.0,,0.75,60.75
2015-06-24,83,75.0,,0.75,62.25
2015-06-25,78,75.0,,0.75,58.5
2015-06-26,70,75.0,,0.75,52.5
2015-06-27,50,75.0,,0.75,37.5
