date,consume_unscaled,consume_monthly,isPartial,scale,consume
2010-09-30,94,47.0,,0.47,44.18
2010-10-01,33,51.0,False,0.51,16.830000000000002
2010-10-02,33,51.0,,0.51,16.830000000000002
2010-10-03,55,51.0,,0.51,28.05
2010-10-04,94,51.0,,0.51,47.94
2010-10-05,54,51.0,,0.51,27.54
2010-10-06,56,51.0,,0.51,28.560000000000002
2010-10-07,78,51.0,,0.51,39.78
2010-10-08,68,51.0,,0.51,34.68
2010-10-09,78,51.0,,0.51,39.78
2010-10-10,56,51.0,,0.51,28.560000000000002
2010-10-11,57,51.0,,0.51,29.07
2010-10-12,81,51.0,,0.51,41.31
2010-10-13,48,51.0,,0.51,24.48
2010-10-14,62,51.0,,0.51,31.62
2010-10-15,58,51.0,,0.51,29.580000000000002
2010-10-16,33,51.0,,0.51,16.830000000000002
2010-10-17,55,51.0,,0.51,28.05
2010-10-18,54,51.0,,0.51,27.54
2010-10-19,76,51.0,,0.51,38.76
2010-10-20,61,51.0,,0.51,31.11
2010-10-21,94,51.0,,0.51,47.94
2010-10-22,41,51.0,,0.51,20.91
2010-10-23,54,51.0,,0.51,27.54
2010-10-24,21,51.0,,0.51,10.71
2010-10-25,38,51.0,,0.51,19.38
2010-10-26,38,51.0,,0.51,19.38
2010-10-27,68,51.0,,0.51,34.68
2010-10-28,71,51.0,,0.51,36.21
2010-10-29,100,51.0,,0.51,51.0
2010-10-30,44,51.0,,0.51,22.44
2010-10-31,11,51.0,,0.51,5.61
2010-11-01,44,49.0,False,0.49,21.56
2010-11-02,75,49.0,,0.49,36.75
2010-11-03,70,49.0,,0.49,34.3
2010-11-04,38,49.0,,0.49,18.62
2010-11-05,58,49.0,,0.49,28.419999999999998
2010-11-06,33,49.0,,0.49,16.169999999999998
2010-11-07,53,49.0,,0.49,25.97
2010-11-08,94,49.0,,0.49,46.06
2010-11-09,100,49.0,,0.49,49.0
2010-11-10,58,49.0,,0.49,28.419999999999998
2010-11-11,49,49.0,,0.49,24.009999999999998
2010-11-12,62,49.0,,0.49,30.38
2010-11-13,22,49.0,,0.49,10.78
2010-11-14,60,49.0,,0.49,29.4
2010-11-15,55,49.0,,0.49,26.95
2010-11-16,68,49.0,,0.49,33.32
2010-11-17,97,49.0,,0.49,47.53
2010-11-18,58,49.0,,0.49,28.419999999999998
2010-11-19,41,49.0,,0.49,20.09
2010-11-20,32,49.0,,0.49,15.68
2010-11-21,37,49.0,,0.49,18.13
2010-11-22,50,49.0,,0.49,24.5
2010-11-23,27,49.0,,0.49,13.23
2010-11-24,34,49.0,,0.49,16.66
2010-11-25,44,49.0,,0.49,21.56
2010-11-26,46,49.0,,0.49,22.54
2010-11-27,49,49.0,,0.49,24.009999999999998
2010-11-28,75,49.0,,0.49,36.75
2010-11-29,67,49.0,,0.49,32.83
2010-11-30,55,49.0,,0.49,26.95
2010-12-01,53,42.0,False,0.42,22.259999999999998
2010-12-02,41,42.0,,0.42,17.22
2010-12-03,35,42.0,,0.42,14.7
2010-12-04,28,42.0,,0.42,11.76
2010-12-05,64,42.0,,0.42,26.88
2010-12-06,75,42.0,,0.42,31.5
2010-12-07,80,42.0,,0.42,33.6
2010-12-08,41,42.0,,0.42,17.22
