date,Coronavirus_unscaled,Coronavirus_monthly,isPartial,scale,Coronavirus
2011-08-05,100,0.0,,0.0,0.0
2011-08-06,0,0.0,,0.0,0.0
2011-08-07,0,0.0,,0.0,0.0
2011-08-08,0,0.0,,0.0,0.0
2011-08-09,0,0.0,,0.0,0.0
2011-08-10,0,0.0,,0.0,0.0
2011-08-11,0,0.0,,0.0,0.0
2011-08-12,0,0.0,,0.0,0.0
2011-08-13,62,0.0,,0.0,0.0
2011-08-14,0,0.0,,0.0,0.0
2011-08-15,0,0.0,,0.0,0.0
2011-08-16,48,0.0,,0.0,0.0
2011-08-17,97,0.0,,0.0,0.0
2011-08-18,49,0.0,,0.0,0.0
2011-08-19,0,0.0,,0.0,0.0
2011-08-20,0,0.0,,0.0,0.0
2011-08-21,0,0.0,,0.0,0.0
2011-08-22,0,0.0,,0.0,0.0
2011-08-23,0,0.0,,0.0,0.0
2011-08-24,0,0.0,,0.0,0.0
2011-08-25,0,0.0,,0.0,0.0
2011-08-26,48,0.0,,0.0,0.0
2011-08-27,0,0.0,,0.0,0.0
2011-08-28,0,0.0,,0.0,0.0
2011-08-29,47,0.0,,0.0,0.0
2011-08-30,0,0.0,,0.0,0.0
2011-08-31,47,0.0,,0.0,0.0
2011-09-01,0,0.0,False,0.0,0.0
2011-09-02,0,0.0,,0.0,0.0
2011-09-03,66,0.0,,0.0,0.0
2011-09-04,0,0.0,,0.0,0.0
2011-09-05,0,0.0,,0.0,0.0
2011-09-06,0,0.0,,0.0,0.0
2011-09-07,0,0.0,,0.0,0.0
2011-09-08,0,0.0,,0.0,0.0
2011-09-09,0,0.0,,0.0,0.0
2011-09-10,0,0.0,,0.0,0.0
2011-09-11,0,0.0,,0.0,0.0
2011-09-12,0,0.0,,0.0,0.0
2011-09-13,0,0.0,,0.0,0.0
2011-09-14,0,0.0,,0.0,0.0
2011-09-15,50,0.0,,0.0,0.0
2011-09-16,0,0.0,,0.0,0.0
2011-09-17,0,0.0,,0.0,0.0
2011-09-18,0,0.0,,0.0,0.0
2011-09-19,0,0.0,,0.0,0.0
2011-09-20,0,0.0,,0.0,0.0
