date,earnings_unscaled,earnings_monthly,isPartial,scale,earnings
2011-07-09,22,37.0,,0.37,8.14
2011-07-10,20,37.0,,0.37,7.4
2011-07-11,35,37.0,,0.37,12.95
2011-07-12,35,37.0,,0.37,12.95
2011-07-13,42,37.0,,0.37,15.54
2011-07-14,45,37.0,,0.37,16.65
2011-07-15,46,37.0,,0.37,17.02
2011-07-16,27,37.0,,0.37,9.99
2011-07-17,30,37.0,,0.37,11.1
2011-07-18,62,37.0,,0.37,22.94
2011-07-19,100,37.0,,0.37,37.0
2011-07-20,73,37.0,,0.37,27.009999999999998
2011-07-21,64,37.0,,0.37,23.68
2011-07-22,50,37.0,,0.37,18.5
2011-07-23,28,37.0,,0.37,10.36
2011-07-24,25,37.0,,0.37,9.25
2011-07-25,52,37.0,,0.37,19.24
2011-07-26,61,37.0,,0.37,22.57
2011-07-27,49,37.0,,0.37,18.13
2011-07-28,56,37.0,,0.37,20.72
2011-07-29,34,37.0,,0.37,12.58
2011-07-30,17,37.0,,0.37,6.29
2011-07-31,21,37.0,,0.37,7.77
2011-08-01,100,29.0,False,0.29,28.999999999999996
2011-08-02,92,29.0,,0.29,26.68
2011-08-03,92,29.0,,0.29,26.68
2011-08-04,96,29.0,,0.29,27.839999999999996
2011-08-05,72,29.0,,0.29,20.88
2011-08-06,48,29.0,,0.29,13.919999999999998
2011-08-07,63,29.0,,0.29,18.27
2011-08-08,89,29.0,,0.29,25.81
2011-08-09,79,29.0,,0.29,22.91
2011-08-10,79,29.0,,0.29,22.91
2011-08-11,63,29.0,,0.29,18.27
2011-08-12,57,29.0,,0.29,16.529999999999998
2011-08-13,45,29.0,,0.29,13.049999999999999
2011-08-14,44,29.0,,0.29,12.76
2011-08-15,65,29.0,,0.29,18.849999999999998
2011-08-16,70,29.0,,0.29,20.299999999999997
2011-08-17,59,29.0,,0.29,17.11
2011-08-18,83,29.0,,0.29,24.069999999999997
2011-08-19,46,29.0,,0.29,13.34
2011-08-20,41,29.0,,0.29,11.889999999999999
2011-08-21,44,29.0,,0.29,12.76
