date,quarantine_unscaled,quarantine_monthly,isPartial,scale,quarantine
2011-06-16,43,1.0,,0.01,0.43
2011-06-17,78,1.0,,0.01,0.78
2011-06-18,66,1.0,,0.01,0.66
2011-06-19,76,1.0,,0.01,0.76
2011-06-20,66,1.0,,0.01,0.66
2011-06-21,59,1.0,,0.01,0.59
2011-06-22,67,1.0,,0.01,0.67
2011-06-23,44,1.0,,0.01,0.44
2011-06-24,70,1.0,,0.01,0.7000000000000001
2011-06-25,82,1.0,,0.01,0.8200000000000001
2011-06-26,100,1.0,,0.01,1.0
2011-06-27,79,1.0,,0.01,0.79
2011-06-28,54,1.0,,0.01,0.54
2011-06-29,31,1.0,,0.01,0.31
2011-06-30,88,1.0,,0.01,0.88
2011-07-01,58,1.0,False,0.01,0.58
2011-07-02,84,1.0,,0.01,0.84
2011-07-03,33,1.0,,0.01,0.33
2011-07-04,51,1.0,,0.01,0.51
2011-07-05,32,1.0,,0.01,0.32
2011-07-06,46,1.0,,0.01,0.46
2011-07-07,68,1.0,,0.01,0.68
2011-07-08,39,1.0,,0.01,0.39
2011-07-09,70,1.0,,0.01,0.7000000000000001
2011-07-10,61,1.0,,0.01,0.61
2011-07-11,68,1.0,,0.01,0.68
2011-07-12,98,1.0,,0.01,0.98
2011-07-13,59,1.0,,0.01,0.59
2011-07-14,69,1.0,,0.01,0.6900000000000001
2011-07-15,48,1.0,,0.01,0.48
2011-07-16,100,1.0,,0.01,1.0
2011-07-17,70,1.0,,0.01,0.7000000000000001
2011-07-18,45,1.0,,0.01,0.45
2011-07-19,73,1.0,,0.01,0.73
2011-07-20,61,1.0,,0.01,0.61
2011-07-21,68,1.0,,0.01,0.68
2011-07-22,79,1.0,,0.01,0.79
2011-07-23,38,1.0,,0.01,0.38
2011-07-24,99,1.0,,0.01,0.99
2011-07-25,58,1.0,,0.01,0.58
2011-07-26,73,1.0,,0.01,0.73
2011-07-27,97,1.0,,0.01,0.97
2011-07-28,96,1.0,,0.01,0.96
2011-07-29,79,1.0,,0.01,0.79
2011-07-30,78,1.0,,0.01,0.78
2011-07-31,99,1.0,,0.01,0.99
2011-08-01,30,1.0,False,0.01,0.3
2011-08-02,76,1.0,,0.01,0.76
2011-08-03,59,1.0,,0.01,0.59
2011-08-04,68,1.0,,0.01,0.68
2011-08-05,53,1.0,,0.01,0.53
2011-08-06,100,1.0,,0.01,1.0
2011-08-07,67,1.0,,0.01,0.67
2011-08-08,21,1.0,,0.01,0.21
2011-08-09,50,1.0,,0.01,0.5
2011-08-10,43,1.0,,0.01,0.43
2011-08-11,39,1.0,,0.01,0.39
2011-08-12,36,1.0,,0.01,0.36
2011-08-13,38,1.0,,0.01,0.38
2011-08-14,61,1.0,,0.01,0.61
2011-08-15,43,1.0,,0.01,0.43
2011-08-16,43,1.0,,0.01,0.43
2011-08-17,30,1.0,,0.01,0.3
2011-08-18,22,1.0,,0.01,0.22
2011-08-19,27,1.0,,0.01,0.27
2011-08-20,50,1.0,,0.01,0.5
2011-08-21,39,1.0,,0.01,0.39
2011-08-22,30,1.0,,0.01,0.3
2011-08-23,45,1.0,,0.01,0.45
2011-08-24,4,1.0,,0.01,0.04
2011-08-25,29,1.0,,0.01,0.29
2011-08-26,34,1.0,,0.01,0.34
2011-08-27,57,1.0,,0.01,0.5700000000000001
2011-08-28,26,1.0,,0.01,0.26
2011-08-29,29,1.0,,0.01,0.29
2011-08-30,21,1.0,,0.01,0.21
2011-08-31,34,1.0,,0.01,0.34
2011-09-01,60,1.0,False,0.01,0.6
2011-09-02,46,1.0,,0.01,0.46
2011-09-03,47,1.0,,0.01,0.47000000000000003
2011-09-04,59,1.0,,0.01,0.59
2011-09-05,86,1.0,,0.01,0.86
2011-09-06,58,1.0,,0.01,0.58
2011-09-07,36,1.0,,0.01,0.36
2011-09-08,57,1.0,,0.01,0.5700000000000001
2011-09-09,52,1.0,,0.01,0.52
